post_id,page_name,comment_level,comment_text,reaction_count,parent_comment_text,json_path
122248811894135319,,0,Sắp chiếu rồi hả,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,mở bán vé chưa z,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Đây là serie phim tôi luôn muốn xem.,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,cuối cùng cũng có một phần movie thay vì tv series:)),0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Huyền thoại đây r.,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,ê công nhận phim nào mà coi imax cũng đã hết nha,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Serie phim minh mong chờ nhiều nhất,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Phần này xem ngang có hiểu k ạ,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Ai tóm tắt trật tự của phim này đc k,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Huyền thoại comeback,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,có ảnh thì phim hay rồi,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Ủa cái này có liên quan gì tới phần đầu tiên ko z,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,"ủa tui có nghe nhầm ko, ra rạp hả chời ơiiiiiiiiiiiii 🤘🏼🤘🏼🤘🏼",0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Húp vộii,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Tạ Hải Đăng,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,🔥🔥🔥🔥,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,"Phần trước hay ko mấy ní, định đi coi",0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,á đù ngonn,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Huyền thoại đây r.,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,"ủa tui có nghe nhầm ko, ra rạp hả chời ơiiiiiiiiiiiii 🤘🏼🤘🏼🤘🏼",0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Phần này xem ngang có hiểu k ạ,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
122248811894135319,,0,Tạ Hải Đăng,0,,simple_post\mandalorian và grogu\122248811894135319\122248811894135319.json
1411690134335651,,0,Xem được hết mùa thứ 2 thì bỏ vì nó cứ sao sao.. giờ họ lại mang ra rạp.. k hiểu có hay k,1,,simple_post\mandalorian và grogu\1411690134335651\1411690134335651.json
1411690134335651,,0,k biết đợt này rạp đông k chứ mấy cái film SW trươc về đi coi mấy suất đầu tiên thấy chưa tới nửa rạp...,0,,simple_post\mandalorian và grogu\1411690134335651\1411690134335651.json
1411690134335651,,0,may vừa cày xong 3 mùa,0,,simple_post\mandalorian và grogu\1411690134335651\1411690134335651.json
1411690134335651,,0,Đang chờ cgv chiếu bản screen-x. Đến giờ này chưa thấy mở bán vé mà lịch chiếu doraemon đã kín bưng rùi 😭😭,0,,simple_post\mandalorian và grogu\1411690134335651\1411690134335651.json
1411690134335651,,0,Rey vô rạp ngủ tiếp nì,1,,simple_post\mandalorian và grogu\1411690134335651\1411690134335651.json
1411690134335651,,1,Ho Sy Hung ngủ chảy ke 3 lần mà chưa hết phim,0,Rey vô rạp ngủ tiếp nì,simple_post\mandalorian và grogu\1411690134335651\1411690134335651.json
1411690134335651,,0,Đã xem hết các mùa trên các nền tảng chiếu phim của người Việt:))),1,,simple_post\mandalorian và grogu\1411690134335651\1411690134335651.json
1411690134335651,,1,Tiger Beer same :)) móe xưa xem đúng đợt dịch nên nhớ vl,0,Đã xem hết các mùa trên các nền tảng chiếu phim của người Việt:))),simple_post\mandalorian và grogu\1411690134335651\1411690134335651.json
1411690134335651,,0,ước j chiếu lại chương 3 ngoài rạp đúng epic=),0,,simple_post\mandalorian và grogu\1411690134335651\1411690134335651.json
1459962009503898,,0,This is the wayyy,0,,simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
1459962009503898,,0,Subspace Tripmine  hẹ hẹ hẹ,0,,simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
1459962009503898,,0,Lê Ngọc Thuận this is the way,0,,simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
1459962009503898,,0,This is the way,0,,simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
1459962009503898,,0,Lê Đức,0,,simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
1459962009503898,,0,Ash Lee,0,,simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
1459962009503898,,0,This is the way,0,,simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
1459962009503898,,0,Phạm Phương Thảo,1,,simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
1459962009503898,,0,"This is the way!!!
Mong ra rạp lắm vì hiếm khi thấy fan SW ở việt nam",0,,simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
1459962009503898,,1,Đinh Minh Đức cộng đồng yên ắng quá :V khéo phải chủ trì thôi,2,"This is the way!!!
Mong ra rạp lắm vì hiếm khi thấy fan SW ở việt nam",simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
1459962009503898,,0,Cày lại 3 season để ra rạp nào 😎,0,,simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
1459962009503898,,1,Nguyễn Huy 2 phần thì đg hơn vs phần kia là book of boba fett á ô,1,Cày lại 3 season để ra rạp nào 😎,simple_post\mandalorian và grogu\1459962009503898\1459962009503898.json
